source_sentence,original_finetuned_llama_translation
"He talks confidently in public, while she prefers to write down her ideas.","O kamu içinde güvenle konuşurken, o fikirlerini yazmak tercih ediyor. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"They travel whenever possible, whereas we rarely leave our hometown.","Onlar mümkün olduğunca seyahat ediyorlar, biz ise nadiren doğduğumuz yerden ayrılmışız.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"You enjoy waking up early, but I feel most energetic late at night.",Erken kalkmaktan hoşlanıyorsun ama ben gece geç saatlerde en enerjik hissediyorum. Bu yüzden birbirimizin tarzlarını seviyoruz. Yumurta yumurtadır ama ben kahvaltı yapmayı seviyorum. Seni uyandırdığım için çok teşekkür ederim
"She reads scientific articles for fun, whereas he prefers crime novels.","O, eğlence için bilimsel makaleler okurken o suç romanları tercih ediyor. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"They cook every meal at home, while we usually eat out.",Biz genellikle dışarıda yemek yerken onlar evde her öğle yemeği pişirirler. ​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"He saves every spare coin, but she spends freely on little luxuries.",O her boş parayı biriktiriyor fakat o küçük lüksler için kolayca harcıyor. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You like to keep conversations light, whereas I often dive into serious topics.","Sen konuşmaları hafif tutmak istiyorsun, ben ise sık sık ciddi konulara dalarım. Bu farklı yaklaşışlar seni benimle aynı seviyede konuşmaya zorlamaktadır. Ne kadar da bu beni seni etkilemektedir. Bu da seninle aynı seviy"
"We choose the safest route, but they always take the most exciting one.",Biz en güvenli yoldan gideriz ama onlar her zaman en heyecan verici olanı seçerler. ​​​​​​​ ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
"She follows instructions exactly, while he improvises from the beginning.","O tam olarak talimatlara uyar, oysa o baştan improvizasyon yapar. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"I work best under pressure, whereas you need plenty of time to prepare.","Ben en iyi baskı altındayken çalışırım, oysa sen hazırlamak için bol zamanın gerek. Bu nedenle ikimizin iş yapma tarzları tam tersine karşılışıyor. Senin için çok vaktin gerekli, ben ise baskının altında çalışıyorum. Bu yüzden ikimizin"
"They celebrate loudly, but we mark special days quietly.",Onlar gürültülü bir şekilde kutlar ama biz özel günleri sessizce işaret ediyoruz. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"He trusts his intuition, while she relies on careful research.","O, içgüdüsüne güvenirken, o dikkatli araştıra dayanır. ​​​​​​​ ​​​​​​ ​​​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"You prefer solo projects, whereas I enjoy collaborating with a big team.","Sen büyük bir ekip ile işbirliğine katılmaktan hoşlanmıyorsun, ben de. Yalnız projeleri tercih ediyorsun, ben de. Benimle aynı fikirde değilsin. Projeleri yalnız yapmayı seviyorsun, ben de. Benimle aynı fikir"
"We decorate our home minimally, but they fill every corner with souvenirs.",Biz evimizi minimalist olarak dekorederiz ama onlar her köşeyi hediyelerle doldururlar.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"She exercises at sunrise, while he goes to the gym just before closing.","O sabah güneşin doğuşunda egzersiz yapar, o ise tam kapanmadan önce spor salonuna gider. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"He keeps his desk spotless, while hers is always covered in papers.","Onun masası hep kağıtla kaplı olurken, onunka asla kağıt kalmaz. O masasını her zaman temiz tutuyor. Onunki ise hep kağıtla dolu. Bu da bir örnektir. İşleri düzenlemek için her zaman temizlik yapması gerekir"
"You remember every birthday, but I constantly lose track of dates.",Sen her doğum gününü hatırlıyorsun ama ben sürekli tarihleri unutuyorum. ​​​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"We listen to classical music, whereas they dance to electronic beats.","Biz klasik müzik dinleriz, onlar ise elektronik ritimlere dans ederler.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"She keeps secrets easily, while he shares news the moment he hears it.","O kolayca sırlar, oysa o haber duyar duymaz bunu paylaşır. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"She collects vintage stamps, though he has no interest in hobbies like that.","O, böyle hobiler ile ilgilenmeyen birine rağmen antik pul koleksiyonu yapıyor. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
They hike every weekend; however we stay home to read books instead.,Onlar her hafta sonu yürüyüşe çıkarlar; ancak biz evde kaldık kitap okumak yerine. ​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He paints landscapes beautifully, yet she specializes in abstract designs.","O manzaraları güzel boyar, fakat o soyut tasarımlara uzmanlaşmış.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
"I bake fresh bread daily, while you buy it from the store every time.","Sen her zaman onu mağazadan alırsın, ben ise günlük olarak taze ekmek pişiriyorum. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"We go to the cinema regularly, but they watch movies at home exclusively.",Biz sinemaya düzenli olarak gideriz ama onlar evde filme izleyerek tercih ediyorlar. ​​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You meditate before work, whereas I jump straight into tasks without pause.","Sen işten önce meditasyon yaparsın, ben ise duraksız bir şekilde görevlere atılırım.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
They garden in the backyard; however we fill our space with patio furniture.,Onlar arka bahçede bahçeler kuruyorlar fakat biz verandasımla alanımızı dolduruyoruz. Patio mobilyaları ile.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He journals every evening, yet she prefers to scroll through social media.",O her akşam günlük tutar fakat o sosyal medya platformlarını tarayıp gitmekten hoşlanıyor. ​​​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"I cycle to the office, while you drive there every day without fail.",Sen her gün işe doğru başarısız olmazsın halde ben ofise bisikletle giderim. ​​​​​​​ ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
"We host board game nights, but they organize dance parties instead.",Biz bir gecelik masa oyunları organizasyonlarına ev sahipleriz ama onlar yerine dans partileri düzenlediler. ​​​​​​​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"She studies history books, though he focuses on science magazines only.","O sadece bilim dergilerine odaklanmasına rağmen tarih kitapları çalışıyor. O tarihe ve bilime ilgileniyor. O, bilim dergilerine bakmıyorken tarihe de bakıyor. Bilim dergelerine bakmıyorken tarihe de bakıyor. Bilim derg"
They swim laps at dawn; however we lounge by the pool later in the day.,Güneşin doğuşunda onlar yüzme lapları yapıyorlar; ancak daha sonra biz havuzun yakınında şemsiyeli oturuyoruz.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He composes music on weekends, but she listens to podcasts nonstop.",O hafta sonlarında müzik kompoz eder ama o kesintisiz olarak podcast'leri dinler. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"I weave baskets from reeds, while you purchase them from markets.","Sen onlardan pazarlardan alırsın, ben de çamlardan koltuklar dokurum. İşte ben böyle yaparım. İşte sen böyle yapma. İşte ben böyle yaparım. İşte sen böyle yapma. İşte ben böyle yaparım. İşte sen böyle yapma. İşte"
"We stargaze on clear nights, but they sleep early regardless of the sky.",Açık gecelerde biz yıldızlara bakıyoruz ama onlar ne gökyüzüne gelirse gelsin erken uyumak zorunda. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
They forage for wild berries; however we always shop at supermarkets.,Onlar yaban mersini topluyorlar fakat biz her zaman süpermarkette alışveriş yapıyoruz.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"He recites poetry aloud, yet she whispers it to herself quietly.","O, şiiri sesle okur fakat o onu kendince sessizce fısılar. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"I tend to bonsai trees, while you grow tall sunflowers in rows.",Sen sünger serçinleri dizerek uzun boylu güllü büyüterken ben bonzai ağaçlarına bakarım. Her ikimiz de doğada yetişen bitkileri yetiştirmek için çaba sarf ediyoruz. İşte bu yüzden doğada yetişen bitkiler yetişti.
They sail small boats on lakes; however we paddle kayaks down rivers.,Onlar göllerde küçük yelkenli kullanır; fakat biz nehirlerde kanoda aşağıya kürek çekiyoruz.​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​
"You grab coffee to go, but I sit down for a full cup.",Sen gitmek için kahve alırsın ama ben tam bir fincan için otururum. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"He folds laundry right away, but she leaves it in the basket.",O derhal çamaşır katlar fakat o onu kese into. ​​​​​​​ ​​​​​​ ​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​​​​​ ​​
"I check the weather first, while you head out regardless.",Sen çıkmaya başlamanın yanı sıra hava durumu kontrol ederim ilk. ​​​​​​​ ​​​​​​ ​​​ ​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"We pay bills online, but they mail checks every month.",Faturaları çevrim içi ödemektedir ama onlar her ay kontrol gönderirler. ​​​​​​​ ​​​ ​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"You add sugar to everything, although I skip it completely.",Ben tamamen atlayasam da her şeye şeker katabilirsin. Yumurta pişirmeden önce onu suya koyup bekleriz. İşte tam bu yüzden. Şimdi iyice uzağa bakalım. İşte tam bu yüzden. Şimdi iyice uzağa bakalım. İşte tam
"She reads news apps, though he gets the paper delivered.","O, gazeteyi teslim aldığı halde haber uygulamaları okur. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​"
"He waters plants daily, yet she forgets until they're drooping.",O her gün bitkileri suluyor fakat o onlar çökünceye kadar unutuyor. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
"We turn off lights leaving rooms, but they leave them blazing.",Biz odaları terk ederken ışıkları kapatıyoruz ama onlar onları açık bırakıyorlar. ​​​​​​​ ​​​​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​
