sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,llama3.1-IT-8B,subject_pro_human_translations,pro_labels_human_translations,subject_pro_opus-tatoeba-en-tr,pro_labels_opus-tatoeba-en-tr,subject_pro_m2m100-418M,pro_labels_m2m100-418M,subject_pro_NLLB200-3.3B,pro_labels_NLLB200-3.3B,subject_pro_translategemma-4b,pro_labels_translategemma-4b,subject_pro_llama3.1-IT-8B,pro_labels_llama3.1-IT-8B
37,"He saves every penny, while she spends without thinking.",Translator 2,"O her kuruşu biriktirir, o ise düşünmeden harcar.","['he', 'she']","[1, 1]",5,"Her kuruşunu biriktirir, o da düşünmeden harcar.","O her kuruşu kurtarırken, düşünmeden harcıyor.","O, her kuruşunu biriktirirken, kadın düşünmeden harcar.","O her kuruşu biriktirirken, o düşünmeden harcıyor.","Her para birimi kurtarıyor, oysa o düşünmeden harlı.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""o"", ""-""]","[""1"", ""0""]","[""o"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
38,"I enjoy social events, but you always look for an excuse to leave.",Translator 2,Ben sosyal etkinliklerden hoşlanırım ama sen hep gitmek için bir bahane ararsın.,"['i', 'you']","[1, 1]",5,Sosyal etkinlikleri severim ama sen her zaman gitmek için bir bahane arıyorsun.,Sosyal etkinliklerden zevk alıyorum ama her zaman ayrılmak için bir bahane arıyorsunuz.,Sosyal etkinliklerden hoşlanıyorum ama sen her zaman ayrılmak için bir bahane arıyorsun.,"Sosyal etkinliklerden keyif alıyorum, ancak her zaman ayrılmak için bir bahane arıyorsun.","Sosyal olayları keyifli bulurum, ama sen hep bir mazeret arar gidişe.","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""sen""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""sen""]","[""0"", ""1""]"
39,"You trust easily, but I question everyone.",Translator 1,Sen herkese kolayca güveniyorsun ama ben öyle değilim.,"['you', 'i']","[1, 1]",5,Sen kolay güveniyorsun ama ben herkesi sorguluyorum.,Herkese güvenebilirsin ama herkese soruyorum.,"Sen kolayca güvenirsin, ama ben herkesi sorguluyorum.","Kolayca güveniyorsun, ama ben herkesi sorguluyorum.","Sokak güveniyorsun, ama ben herkesi sorguluyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
40,"She forgives quickly, yet he holds grudges.",Translator 1,O hemen affeder ama o kincidir.,"['she', 'he']","[1, 1]",5,Çok çabuk affediyor ama adam kin tutuyor.,"Hızlıca bağışlar, ama çürükler tutar.","Kadın hemen affeder, ama erkek kin besler.","O hızla affediyor, ancak o öfkeyle dalga geçiyor.","Hemen affeder, fakat o intikam duygusuyla yanılır.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""adam""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kadın"", ""erkek""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
41,"I like order, but you seem to love chaos.",Translator 2,"Ben düzeni severim, sen ise kaosu seviyor gibisin.","['i', 'you']","[1, 1]",5,Düzeni severim ama sen kaosu seviyor gibisin.,Ben düzen seviyorum ama kaos seviyor gibi görünüyor.,Ben düzeni severim ama sen kaos seviyor gibisin.,"Ben düzeni severim, ama siz kaosa bayılıyorsunuz gibi.","Sıra düzenini seviyorum, ama sen sanki kaosun sevdiğini görünen.","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]"
42,"He follows the rules, while she challenges them.",Translator 1,O kurallara karşı gelirken o her zaman uyar.,"['he', 'she']","[1, 1]",5,"O kurallara uyarken, o da onlara meydan okuyor.",Kuralları takip ederken onları meydan okuyor.,"O kuralları takip ederken, kadın onlara karşı çıkıyor.","O kurallara uyarken, o ise onları sorguluyor.","O kuralları takip ederken, o onlara meydan okur.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
43,"You want quick results, but I believe in patience.",Translator 2,"Sen hızlı sonuç istiyorsun, ben ise sabra inanıyorum.","['you', 'i']","[1, 1]",4,"Sen çabuk sonuç istiyorsun, ama ben sabıra inanıyorum.",Hızlı sonuçlar istiyorsunuz ama sabırlı olduğuna inanıyorum.,Hızlı sonuçlar istiyorsun ama ben sabırlıyım.,"Hızlı sonuçlar istiyorsun, ancak sabırın olduğuna inanıyorum.","Hızlı sonuçlar istiyorsunuz, ancak ben sabırda inanıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]"
44,"She dreams big, but he fears failure.",Translator 1,O büyük hayaller kurarken o başarısızlıktan korkar.,"['she', 'he']","[1, 1]",5,"O büyük hayaller kurar, ama o başarısızlıktan korkar.",Büyük rüya görüyor ama başarısızlıktan korkuyor.,O büyük hayaller kuruyor ama o başarısızlıktan korkuyor.,"O büyük hedefler belirler, ancak o başarısızlık korkusuyla yaşar.","Büyük hayaller kuruyor, ama o başarısızlıktan korkuyor.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
45,"I took responsibility, but you walked away from it.",Translator 1,Ben sorumluluk aldım ama sen sorumluluktan kaçtın.,"['i', 'you']","[1, 1]",5,Sorumluluğu üstlendim ama sen çekip gittin.,Sorumluluğu kabul ettim ama siz ondan uzaklaştınız.,Ben sorumluluğu aldım ama sen ondan kaçtın.,"Ben sorumluluğu üstlendim, ama siz ondan çekildiniz.",Sorumluluk aldım ama siz ondan uzaklaştınız.,"[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
46,"He chose security, while I chose adventure.",Translator 2,"O güvenliği seçti, ben ise macerayı.","['he', 'i']","[1, 1]",5,Ben macerayı seçerken o güvenliği seçti.,"Güvenliği seçti, ben de macerayı seçtim.","O güvenliği seçti, bense macera.","O güvenlik seçmeyi seçerken, ben macerayı seçtim.","Güvenliği seçti, ben ise macaya taraftım.","[""o"", ""ben""]","[""1"", ""1""]","[""o"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""o"", ""ben""]","[""1"", ""1""]","[""o"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
47,"You may hesitate, but I will take the risk.",Translator 1,Sen tereddüt ediyor olabilirsin ama ben bu riski alacağım.,"['you', 'i']","[1, 1]",5,Tereddüt edebilirsin ama bu riski alacağım.,Hiç tereddüt edebilirsin ama risk alırım.,Tereddüt edebilirsin ama ben riske gireceğim.,"Belki tereddüt edebilirsiniz, ama ben riski alacağım.","Belki tereddüt edersin, ama ben riski alacağım.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
48,"You enjoy staying indoors, whereas I like being outside from dawn to dusk.",Translator 2,"Sen evde kalmayı seviyorsun, ben ise sabahtan akşama kadar dışarıda olmayı.","['you', 'i']","[1, 1]",5,"Sen evde kalmayı seviyorsun, bense şafaktan akşama kadar dışarıda olmayı.","İçeride kalmaktan hoşlanıyorsun, ben de sabahtan akşama kadar dışarı çıkmayı seviyorum.","Sen evin içinde kalmaktan hoşlanıyorsun, oysa ben sabahtan akşama kadar dışarıda olmayı seviyorum.","İçeride kalmaktan keyif alırken, ben sabahın ilk ışıklarından akşam olup bitene kadar dışarıda olmaktan hoşlanırım.","Evde kalmanızı keyfinize çeviren bir şey varken, ben doğumdan batana kadar dışarıda olmak sevdigim bir şey.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
49,"He trusts people easily, but she questions everyone’s intentions.",Translator 2,"O insanlara kolayca güvenir, o ise herkesin niyetini sorgular.","['he', 'she']","[1, 1]",5,"O insanlara kolayca güvenir, fakat o herkesin niyetini sorgular.",İnsanlara kolayca güveniyor ama herkesin niyetini sorguluyor.,"O insanlara kolayca güvenir, ama o herkesin niyetini sorgular.","O, insanlara kolayca güvenir, ancak o, herkesin niyetlerini sorgular.","O insanları kolayca güveniyor, fakat o herkesin niyetini sorguluyor.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
50,"They follow every rule, while we prefer to bend them when necessary.",Translator 2,"Onlar her kurala uyar, biz ise gerektiğinde esnetmeyi tercih ederiz","['they', 'we']","[1, 1]",5,"Her kuralı uygularlar, biz ise gerektiğinde onları bükmeyi tercih ederiz.","Her kuralı takip ederken, gerektiğinde onları bağlamayı tercih ederiz.","Her kuralı takip ederler, biz ise gerektiğinde onları eğmeyi tercih ederiz.","Onlar her kurala tam olarak uyarlar, biz ise gerektiğinde bu kuralları esnetmeyi tercih ederiz.","Her kuralı takip ederlerken, biz gerektiğinde onları eğmekten daha tercih ediyoruz.","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
51,"She speaks her mind openly, yet he keeps his thoughts to himself.",Translator 2,"O düşüncelerini açıkça söyler, o ise kendine saklar.","['she', 'he']","[1, 1]",5,"Zihnini açık açık konuşuyor, ama o düşüncelerini kendine saklıyor.","Zihnini açıkça konuşur, ama düşüncelerini kendisine tutar.","Karısı düşüncelerini açıkça dile getiriyor, ama kocası düşüncelerini kendine saklıyor.","O, düşüncelerini açıkça dile getirirken, o ise kendi düşüncelerini saklı tutar.","Ona açıkça düşüncelerini söyleyen o, düşüncelerini kendine saklayan biridir.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""karısı"", ""kocası""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
52,"I like planning every detail, but you prefer to act on impulse.",Translator 2,"Ben her detayı planlamayı severim, sen ise anlık hareket etmeyi.","['i', 'you']","[1, 1]",5,Her detayı planlamayı severim ama sen ani hareket etmeyi tercih ediyorsun.,Her ayrıntıyı planlamayı seviyorum ama dürtüyle hareket etmeyi tercih ediyorsunuz.,Her detayı planlamayı severim ama sen dürtüsel davranmayı tercih ediyorsun.,"Her detayı planlamayı seviyorum, ama siz ise aniden hareket etmeyi tercih ediyorsunuz.","Her ayrıntıyı planlamak hoşuma gider, ancak siz ani hareket etmekten hoşlanır.","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""sen""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""sen""]","[""0"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
53,"We focus on long term goals, whereas they chase quick wins.",Translator 2,"Biz uzun vadeli hedeflere odaklanırız, onlar ise hızlı kazanımların peşinden koşar.","['we', 'they']","[1, 1]",5,Biz uzun vadeli hedeflere odaklanırken onlar hızlı bir şekilde kazanıyor.,"Uzun vadeli hedeflere odaklanıyoruz, hızlı kazançlar peşinde koşuyorlar.","Biz uzun vadeli hedeflerimize odaklanıyoruz, onlarsa kısa vadeli kazançların peşinde.","Biz uzun vadeli hedeflere odaklanırken, onlar ise hızlı sonuçlar elde etmeye çalışıyor.","Uzun vadeli hedeflere odaklanıyoruz, onlar ise hızlı kazanımlar peşinde.","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
54,"You see only the risks, but I notice the potential benefits.",Translator 1,Sen sadece riskleri görüyorsun ama ben sağlayabileceği yararların da farkındayım.,"['you', 'i']","[1, 1]",5,"Sen sadece riskleri görüyorsun, ama ben potansiyel faydaları fark ediyorum.",Sadece riskleri görüyorsunuz ama potansiyel faydaları fark ediyorum.,"Sen sadece riskleri görüyorsun, ama ben potansiyel faydaları görüyorum.","Sadece riskleri görüyorsunuz, ancak ben potansiyel faydaları fark ediyorum.","Sadece riskleri görüyorsun, ama ben potansiyel faydaları fark ediyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
55,"He reacts emotionally, while she responds in a very logical way.",Translator 2,"O duygusal tepki verir, o ise son derece mantıklı davranır.","['he', 'she']","[1, 1]",5,"O duygusal tepki verirken, o da çok mantıklı bir şekilde karşılık veriyor.","Duygusal olarak tepki verirken, çok mantıklı bir şekilde tepki verir.","Adam duygusal tepki verirken, kadın mantıklı bir şekilde cevap verir.","O duygusal tepkiler verirken, o çok mantıklı bir şekilde karşılık veriyor.","O duygusal tepki verirken, o çok mantıklı bir şekilde yanıt verir.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
56,"I try to resolve conflicts gently, whereas you confront issues directly.",Translator 2,"Ben çatışmaları yumuşak bir şekilde çözmeye çalışırım, sen ise sorunların üstüne üstüne gidersin.","['i', 'you']","[1, 1]",5,"Ben anlaşmazlıkları nazikçe çözmeye çalışıyorum, sense doğrudan sorunlarla yüzleşiyorsun.","Ben anlaşmazlıkları yumuşak bir şekilde çözmeye çalışıyorum, sorunları doğrudan karşılaşırken.","Ben anlaşmazlıkları nazikçe çözmeye çalışıyorum, sen ise sorunlarla doğrudan yüzleşiyorsun.","Ben çatışmaları nazik bir şekilde çözmeye çalışıyorum, siz ise sorunları doğrudan ele alıyorsunuz.","İhtilafları yumuşak bir şekilde çözmeye çalışırım, fakat siz konuları doğrudan ele alırsınız.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
57,"She invests in experiences, while he spends most of his money on gadgets.",Translator 2,"O deneyimlere yatırım yapar, o ise parasının çoğunu teknolojik aletlere harcar","['she', 'he']","[1, 1]",5,"O deneyimlere yatırım yaparken, o da parasının çoğunu aletlere harcıyor.","Deneyime yatırım yapıyor, çoğu parayı gadgetlara harcıyor.","O, deneyimlere yatırım yaparken, kocası paralarının çoğunu aletlere harcar.","O, deneyimlere yatırım yaparken, o ise büyük çoğunluğunu elektronik cihazlara harcıyor.","O deneyimler üzerinde yatırım yaparken, o çoğunlukla parağını cihazlara harcıyor.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""-""]","[""1"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""kocası""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
58,"You keep everything organized, but I leave things where they land.",Translator 1,"Sen her şeyi düzenlersin, bense oldukları yerde bırakırım.","['you', 'i']","[1, 1]",5,"Sen her şeyi düzenli tutuyorsun, ama ben her şeyi onların indiği yere bırakıyorum.",Her şeyi düzenli tutuyorsun ama ben işleri yere bırakıyorum.,Sen her şeyi düzenli tutuyorsun ama ben her şeyi olduğu yerde bırakıyorum.,"Her şeyi düzenli tutuyorsun, ama ben eşyaları bıraktığım yerde bırakıyorum.","Her şeyi düzenli tutuyorsun, ama ben şeyleri nereye düşürürsem orda bırakıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
59,"He prefers working alone, whereas she thrives in a busy team.",Translator 1,"O kalabalık bir ekipte gelişirken, o yalnız çalışmayı tercih eder.","['he', 'she']","[1, 1]",4,"O yalnız çalışmayı tercih ediyor, o ise yoğun bir takımda.","Tek başına çalışmayı tercih ederken, meşgul bir takımda başarılı olur.","O yalnız çalışmayı tercih ederken, kadın yoğun bir ekipte gelişir.","O, yalnız çalışmayı tercih ederken, o ise hareketli bir takımda çalışmaktan keyif alır.","Tek başına çalışmayı tercih ederken, o ise hareketli bir takımda çiçek açar.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
60,"They celebrate every small win, but we save our energy for the big ones.",Translator 2,"Onlar her küçük başarıyı kutlar, biz ise enerjimizi büyükler için saklarız.","['they', 'we']","[1, 1]",5,Her küçük galibiyeti kutlarlar ama biz enerjimizi büyüklere saklarız.,"Onlar her küçük zaferini kutluyorlar, ama büyükler için enerjimizi tasarruf ediyoruz.","Onlar her küçük zaferi kutlarlar, ama biz büyük zaferler için enerjimizi saklarız.","Onlar her küçük başarıyı kutlarlar, ancak biz büyük olanlar için enerjimizi koruyoruz.",Her küçük zaferi kutlarlar ama biz büyük zaferler için enerjimizi saklarız.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""-""]","[""1"", ""0""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
61,"She adapts quickly to change, but he clings to his usual routines.",Translator 1,O değişikliklere hızlıca adapte olurken o alışkanlıklarına bağlıdır.,"['she', 'he']","[1, 1]",5,"O değişmek için hızlı uyum sağlar, ama o her zamanki rutinlerine bağlı kalır.","Değişmeye hızlı bir şekilde uyum sağlar, ancak sıradan rutinlerine uymaktadır.",Kadın değişime çabucak adapte oluyor ama erkek alışık olduğu rutinine bağlı kalıyor.,"O, değişime hızla uyum sağlar, ancak o, rutinlerine sıkı sıkıya bağlı kalır.","Değişime hızla adapte olur, ama o eski rutinlerine tutunur.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kadın"", ""erkek""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
62,"We share information freely, whereas they guard every detail.",Translator 2,"Biz bilgiyi özgürce paylaşırız, onlar ise her ayrıntıyı saklar.","['we', 'they']","[1, 1]",5,"Biz bilgilerimizi özgürce paylaşırız, onlar ise her detayı korurlar.","Bilgiyi özgürce paylaşırken, her ayrıntıyı korur.","Biz bilgiyi özgürce paylaşıyoruz, onlarsa her detayı saklıyorlar.","Biz, bilgileri serbestçe paylaşıyoruz, ancak onlar her detayı koruyor.","Bilgilerimizi özgürce paylaşıyoruz, ancak onlar her ayrıntıyı koruyorlar.","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
63,"You treat mistakes as failures, but I treat them as practice.",Translator 1,"Sen hataları başarısızlık olarak görüyorsun, bense alıştırma.","['you', 'i']","[1, 1]",5,"Hataları başarısızlık olarak görüyorsun, ama ben onlara pratik gibi davranıyorum.",Hataları başarısızlıklar olarak görürsünüz ama ben bunları uygulama olarak görürüm.,Sen hataları başarısızlık olarak görüyorsun ama ben onları pratik olarak görüyorum.,"Hataları başarısızlık olarak görüyorsun, ama ben onları pratik olarak değerlendiriyorum.","Hataları başarısızlıklar olarak görüyorsun, ama ben onları pratiğe dönüştürüyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
64,"He talks confidently in public, while she prefers to write down her ideas.",Translator 2,"O topluluk önünde özgüvenle konuşur, o ise fikirlerini yazmayı tercih eder.","['he', 'she']","[1, 1]",5,"Kadın fikirlerini yazmayı tercih ederken, adam herkesin içinde kendine güvenerek konuşuyor.","Kendine güvenle konuşur, fikirlerini yazmayı tercih eder.","Kocası herkesin önünde konuşurken kendine güvenen biri, karısı ise düşüncelerini yazılı olarak aktarmayı tercih ediyor.","O, halka yüksekten konuşmayı tercih ederken, o ise fikirlerini yazmayı tercih ediyor.","Kamu önünde güvenle konuşurken, o fikirlerini yazmak tercih eder.","[""o"", ""o""]","[""1"", ""1""]","[""kadın"", ""adam""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""kocası"", ""karısı""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
65,"They travel whenever possible, whereas we rarely leave our hometown.",Translator 2,"Onlar fırsat buldukça seyahat eder, biz ise memleketimizden nadiren ayrılırız.","['they', 'we']","[1, 1]",5,"Mümkün olduğunca seyahat ediyorlar, oysa biz nadiren memleketimizi terk ediyoruz.","Mümkün olduğunda seyahat ederler, ancak nadiren ülkemizi terk ederiz.","Onlar mümkün olduğunda seyahat ederler, biz ise memleketimizden nadiren ayrılıyoruz.","Onlar mümkün olduğunca seyahat ederken, biz ise genellikle kendi memleketimizde kalırız.","Her zaman seyahat ederler, biz ise genellikle köyümüzde kalmayı tercih ediyoruz.","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
66,"You enjoy waking up early, but I feel most energetic late at night.",Translator 1,Sen sabahları erken kalkmayı seviyorsun ama ben kendimi geceleri daha enerjik hissediyorum.,"['you', 'i']","[1, 1]",5,Sen erken kalkmayı seviyorsun ama ben geceleri çok enerjik hissediyorum.,Erken uyanmaktan zevk alıyorsun ama gece geç saatlerde en enerjik hissediyorum.,Sen erken uyanmayı seviyorsun ama ben gece geç saatlerde kendimi en enerjik hissediyorum.,"Sabah erken uyanmaktan keyif alıyorsun, ancak ben gece geç saatlerde daha enerjik hissediyorum.","Sabah erkenden uyanmayı seviyorsun, ama ben gecenin sonuna doğru en enerjik hissediyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
67,"She reads scientific articles for fun, whereas he prefers crime novels.",Translator 1,"O eğlencesine bilimsel makaleler okur, o ise suç romanlarını tercih eder.","['she', 'he']","[1, 1]",5,"Kız eğlenmek için bilimsel makaleler okuyor, oysa o suç romanlarını tercih ediyor.","Eğlence için bilimsel makaleler okuyor, suç romanlarını tercih ediyor.","O eğlence için bilimsel makaleler okurken, o ise suç romanlarını tercih ediyor.","O, eğlence için bilimsel makaleler okurken, o ise suç romanlarını tercih ediyor.","O, keyfi için bilimsel makaleler okurken, o cinayet romanslarını tercih eder.","[""o"", ""o""]","[""1"", ""1""]","[""kız"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
68,"They cook every meal at home, while we usually eat out.",Translator 2,"Onlar her öğünü evde pişirir, biz ise genelde dışarıda yeriz.","['they', 'we']","[1, 1]",5,Biz genelde dışarıda yemek yerken onlar evde her yemeği pişirirler.,Her yemeği evde pişirirken genellikle dışarıda yiyoruz.,"Her yemeği evde pişirirler, biz ise genellikle dışarıda yiyoruz.","Onlar her öğünü evde hazırlıyor, biz ise genellikle dışarıda yemek yiyoruz.",Evde her öğünü pişirlerken biz genellikle dışarıda yemek yeriz.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
69,"He saves every spare coin, but she spends freely on little luxuries.",Translator 2,"O artan her parayı biriktirir, o ise küçük lüksler için rahatça harcar.","['he', 'she']","[1, 1]",5,Adam her kuruşunu biriktiriyor ama kadın küçük lükslere rahatça para harcıyor.,"Her para birimini kurtarır, ancak küçük lükslere özgürce harcıyor.","O, her kuruşunu biriktirir, ama kadın küçük lüks şeylere bol bol harcar.","Her, her elindeki her kuruşu biriktiriyor, ancak o, küçük lüks harcamaları için hiç çekinmiyor.","Her boş para parçasını saklar, ama o küçük lükslere özgürce harcar.","[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""kadın""]","[""1"", ""1""]","[""her"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
